94,0,9
88,0,7
86,0,5
36,0,5
19,0,5
17,0,5
56,0,5
10,0,4
34,0,4
14,0,4
1,0,4
43,0,3
9,0,3
16,0,3
37,0,3
57,0,2
95,0,2
70,0,2
8,0,2
74,0,2
21,0,2
3,0,2
67,0,1
66,0,1
29,0,1
28,0,1
41,0,1
71,0,1
89,0,1
75,0,1
0,10,5
0,17,4
0,34,4
0,43,3
0,9,3
0,88,3
0,19,3
0,86,2
0,70,2
0,8,2
0,21,2
0,14,2
0,56,2
0,3,2
0,95,1
0,94,1
0,67,1
0,66,1
0,28,1
0,37,1
0,74,1
0,71,1
0,89,1
0,75,1
0,41,1
0,1,1
61,1,10
51,1,10
65,1,10
19,1,10
59,1,10
96,1,10
41,1,10
36,1,10
50,1,9
37,1,9
8,1,8
21,1,8
90,1,8
39,1,8
9,1,8
53,1,8
30,1,7
46,1,7
16,1,7
22,1,7
73,1,7
3,1,7
7,1,5
78,1,5
38,1,5
23,1,4
18,1,4
6,1,4
10,1,4
98,1,4
14,1,3
29,1,3
72,1,3
84,1,3
74,1,3
44,1,3
95,1,2
86,1,2
89,1,2
43,1,2
42,1,1
57,1,1
4,1,1
92,1,1
88,1,1
76,1,1
24,1,1
82,1,1
69,1,1
66,1,1
64,1,1
34,1,1
62,1,1
20,1,1
1,36,10
1,37,9
1,3,9
1,19,8
1,22,8
1,39,8
1,90,8
1,53,8
1,30,6
1,73,6
1,7,5
1,46,5
1,16,5
1,8,5
1,41,5
1,21,4
1,98,4
1,23,3
1,6,3
1,65,3
1,14,3
1,74,3
1,20,3
1,44,3
1,9,3
1,13,2
1,12,2
1,18,2
1,50,2
1,89,2
1,76,2
1,69,2
1,42,1
1,86,1
1,4,1
1,15,1
1,94,1
1,84,1
1,2,1
1,92,1
1,17,1
1,88,1
1,24,1
1,51,1
1,96,1
1,82,1
1,66,1
1,38,1
1,34,1
1,62,1
1,64,1
1,43,1
1,10,-5
91,2,10
4,2,8
42,2,7
5,2,7
25,2,5
33,2,5
55,2,5
31,2,5
92,2,4
41,2,4
35,2,4
29,2,3
80,2,3
20,2,3
89,2,3
23,2,3
12,2,3
87,2,2
48,2,2
6,2,2
57,2,1
86,2,1
71,2,1
18,2,1
96,2,1
11,2,1
9,2,1
39,2,1
26,2,1
62,2,1
99,2,1
52,2,1
74,2,1
7,2,1
10,2,1
61,2,1
94,2,1
32,2,-2
2,4,8
2,91,8
2,5,8
2,33,5
2,55,5
2,42,5
2,31,5
2,92,4
2,35,4
2,18,3
2,29,3
2,30,3
2,41,3
2,89,3
2,23,3
2,12,3
2,87,2
2,80,2
2,20,2
2,62,2
2,6,2
2,28,2
2,86,1
2,71,1
2,96,1
2,11,1
2,48,1
2,26,1
2,9,1
2,39,1
2,99,1
2,52,1
2,74,1
2,7,1
2,10,1
2,61,1
2,94,1
96,3,10
38,3,10
39,3,9
30,3,8
22,3,7
36,3,7
24,3,6
8,3,6
16,3,5
76,3,5
64,3,5
62,3,5
15,3,5
73,3,5
53,3,5
71,3,4
83,3,3
44,3,3
90,3,3
94,3,2
21,3,2
20,3,2
10,3,2
46,3,2
87,3,2
98,3,2
66,3,1
37,3,1
9,3,1
3,76,5
3,62,5
3,22,5
3,44,5
3,39,5
3,90,5
3,53,5
3,30,4
3,16,4
3,73,4
3,38,4
3,64,4
3,15,4
3,36,4
3,24,3
3,10,3
3,20,3
3,96,3
3,83,3
3,94,2
3,46,2
3,8,2
3,87,2
3,71,2
3,98,2
3,66,1
3,34,1
3,25,1
3,9,1
10,4,10
67,4,10
66,4,10
41,4,9
12,4,8
18,4,8
52,4,8
30,4,6
42,4,6
48,4,6
57,4,5
31,4,5
5,4,5
99,4,5
96,4,5
23,4,4
58,4,4
11,4,4
80,4,4
35,4,3
28,4,3
84,4,3
32,4,3
60,4,3
87,4,3
95,4,2
81,4,2
91,4,2
25,4,2
46,4,1
21,4,1
29,4,1
7,4,1
26,4,1
92,4,1
4,66,8
